Ciudad,Año,Índice de Costo de Vida_x,Índice de Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Calidad de Vida,Índice de Poder Adquisitivo,Índice de Seguridad,Índice de Sanidad,Relación Precio/Ingresos para Propiedades,Índice de Tiempo de Desplazamiento en Tráfico,Índice de Contaminación,Esperanza vida
Bucarest,2017,38.54,12.1,30.99,35.08,122.98,53.59,71.08,51.55,10.98,37.82,71.28,75.2
Bucarest,2018,44.38,14.0,36.6,40.58,122.89,58.75,71.12,54.72,10.58,39.64,72.08,75.3
Bucarest,2019,39.6,12.81,31.52,38.98,120.77,57.53,72.26,53.69,11.08,41.53,73.87,75.6
Bucarest,2020,39.23,13.16,31.78,37.6,118.56,52.76,72.6,54.34,10.9,42.08,74.88,74.2
Bucarest,2021,42.84,14.94,35.72,40.06,116.09,48.35,72.02,54.47,10.6,42.05,75.51,72.8
Bucarest,2022,40.1,14.84,33.5,39.45,119.28,53.15,72.06,54.88,10.14,41.27,75.57,75.3
Bucarest,2023,43.21,13.09,35.74,44.21,119.19,55.49,71.79,54.84,10.82,41.02,75.57,76.5
Bratislava,2015,54.4,21.19,48.63,45.12,109.19,61.75,65.59,53.89,10.89,32.2,44.94,76.7
Bratislava,2016,49.76,18.91,45.64,38.23,156.11,72.02,65.97,62.04,12.5,28.1,44.17,77.3
Bratislava,2017,47.6,19.62,42.31,35.58,157.23,70.94,70.31,63.25,11.39,36.14,41.9,77.3
Bratislava,2018,53.64,22.87,46.54,44.37,154.15,72.75,69.31,63.16,12.16,32.09,42.04,77.4
Bratislava,2019,48.4,20.29,40.96,41.21,149.82,70.0,69.72,58.37,12.4,30.38,46.29,77.8
Bratislava,2020,48.27,21.92,39.87,40.45,150.03,63.85,69.78,58.57,12.87,31.04,41.27,77.0
Bratislava,2021,52.69,23.11,43.87,46.06,146.46,59.05,68.99,57.6,13.77,30.59,40.9,74.6
Bratislava,2022,49.44,23.04,41.99,44.73,147.56,62.63,69.71,57.5,14.56,31.16,40.75,77.2
Bratislava,2023,50.4,19.52,43.78,42.96,144.69,60.62,69.35,56.81,17.01,31.01,39.46,78.0
Liubliana,2014,77.54,25.13,65.85,66.43,122.43,59.39,65.41,60.96,11.88,20.8,31.84,81.2
Liubliana,2015,65.13,18.87,55.71,55.02,137.01,68.73,69.02,55.1,10.27,18.78,33.08,80.9
Liubliana,2016,53.0,16.64,42.49,44.58,169.87,91.62,71.89,58.38,10.61,21.88,33.0,81.2
Liubliana,2017,58.74,17.71,48.18,48.7,168.45,72.23,75.93,64.43,11.48,25.7,27.53,81.2
Liubliana,2018,65.47,20.62,54.76,57.7,168.19,74.7,75.03,65.24,12.31,27.85,26.93,81.5
Liubliana,2019,54.94,18.82,45.56,46.52,171.22,72.81,77.24,63.55,13.38,25.4,24.13,81.6
Liubliana,2020,54.79,21.31,44.82,47.06,167.88,63.88,78.76,65.78,13.32,28.03,23.88,80.6
Liubliana,2021,62.56,23.19,53.17,55.45,164.61,55.3,78.51,66.3,13.35,27.72,22.77,80.7
Liubliana,2022,57.18,23.5,49.44,52.01,166.8,60.19,78.55,66.38,13.32,27.55,23.47,81.3
Liubliana,2023,54.1,20.82,46.0,45.24,166.87,62.28,78.24,66.31,14.38,27.32,23.42,81.85
Madrid,2014,82.2,38.55,69.05,85.89,95.29,68.46,63.88,75.19,13.13,34.88,63.54,83.3
Madrid,2015,69.1,31.75,58.26,71.94,111.9,74.02,64.4,73.29,11.43,32.08,59.35,83.0
Madrid,2016,60.79,26.97,50.43,58.68,167.74,101.77,68.28,76.17,11.16,34.64,61.39,83.5
Madrid,2017,60.49,28.29,49.67,60.28,164.94,85.18,68.54,78.3,11.27,38.09,54.94,83.4
Madrid,2018,67.63,33.41,56.59,70.41,156.69,96.36,58.62,79.24,9.64,36.74,54.78,83.5
Madrid,2019,60.48,31.51,48.13,60.42,150.74,79.59,64.85,78.58,12.26,35.24,56.28,84.0
Madrid,2020,58.25,32.53,45.53,60.23,152.58,73.65,69.76,79.27,12.98,35.29,53.25,82.4
Madrid,2021,65.71,34.91,53.73,66.15,147.06,61.15,70.58,79.11,13.37,35.21,52.92,83.3
Madrid,2022,59.01,31.95,49.14,62.31,156.49,74.83,70.29,80.02,10.94,35.35,51.86,83.2
Madrid,2023,54.51,29.53,43.55,53.3,161.16,85.71,69.9,79.96,11.16,35.34,51.41,83.99
Estocolmo,2014,113.94,47.79,105.09,114.35,160.86,97.09,56.65,71.64,11.58,37.75,14.72,82.3
Estocolmo,2015,89.15,38.06,80.44,95.38,174.12,105.62,54.02,69.44,11.88,35.56,12.38,82.2
Estocolmo,2016,83.5,37.13,74.49,88.39,180.51,130.34,57.02,71.11,14.63,39.91,11.35,82.4
Estocolmo,2017,83.42,40.37,77.33,84.52,160.24,101.95,54.22,68.0,15.36,39.35,16.27,82.5
